TEAM,NAME,image,,,,,,,,,BATTING STYLE,BOWLING STYLE,PLAYING ROLE
Royal Challengers Bengaluru,Devdutt Padikkal,,Left hand Bat,Left hand Bat, 'BOWLING STYLE\n\nRight arm Offbreak',, Kerala',, 'AGE\n\n25y 1d',,Left hand Bat,Right arm Offbreak,Top order Batter
Royal Challengers Bengaluru,Manoj Bhandage,,Left hand Bat,Left hand Bat, 'BOWLING STYLE\n\nRight arm Medium fast',, Karnataka',, 'AGE\n\n26y 276d',,Left hand Bat,Right arm Medium fast,Allrounder
Royal Challengers Bengaluru,Liam Livingstone,, 'BATTING STYLE\n\nRight hand Bat', 'BATTING STYLE\n\nRight hand Bat', 'BOWLING STYLE\n\nRight arm Offbreak,, Cumberland',, 'AGE\n\n31y 338d',,Right hand Bat,Right arm Offbreak,Batting Allrounder
Royal Challengers Bengaluru,Mohit Rathee,, 'BATTING STYLE\n\nRight hand Bat', 'BATTING STYLE\n\nRight hand Bat', 'BOWLING STYLE\n\nLegbreak',, Haryana',, 'AGE\n\n26y 176d',,Right hand Bat,Legbreak,Allrounder
Royal Challengers Bengaluru,Krunal Pandya,,Left hand Bat,Left hand Bat, 'BOWLING STYLE\n\nSlow Left arm Orthodox',, Gujarat',, 'AGE\n\n34y 106d',,Left hand Bat,Slow Left arm Orthodox,Allrounder
Royal Challengers Bengaluru,Romario Shepherd,, 'nilING STYLE\n\nRight arm Fast medium',, 'PLAYING ROLE\n\nBowling Allrounder'],, 'AGE\n\n30y 224d',, 'BATTING STYLE\n\nRight hand Bat', 'BATTING STYLE\n\nRight hand Bat',Right hand Bat,Right arm Fast medium ,Bowling Allrounder
Royal Challengers Bengaluru,Jacob Bethell,, 'nilING STYLE\n\nSlow Left arm Orthodox',, 'PLAYING ROLE\n\nBatting Allrounder',, 'AGE\n\n21y 258d',,Left hand Bat,Left hand Bat,Left hand Bat,Slow Left arm Orthodox,Batting Allrounder
Royal Challengers Bengaluru,Abhinandan Singh,, 'PLAYING ROLE\n\nniler'],,,, 'BATTING STYLE\n\nRight hand Bat', 'BATTING STYLE\n\nRight hand Bat', 'BOWLING STYLE\n\nRight arm Medium fast',,Right hand Bat,Right arm Medium fast,Bowler
Royal Challengers Bengaluru,Josh Hazlewood,,Left hand Bat,Left hand Bat, 'BOWLING STYLE\n\nRight arm Fast medium',, New South Wales',, 'AGE\n\n34y 181d',,Left hand Bat,Right arm Fast medium,Bowler
Royal Challengers Bengaluru,Bhuvneshwar Kumar,, 'BATTING STYLE\n\nRight hand Bat', 'BATTING STYLE\n\nRight hand Bat', 'BOWLING STYLE\n\nRight arm Medium',, Uttar Pradesh',, 'AGE\n\n35y 153d',,Right hand Bat,Right arm Medium,Bowler
Royal Challengers Bengaluru,Blessing Muzarabani,, 'nilING STYLE\n\nRight arm Fast medium',, 'PLAYING ROLE\n\nBowler'],, 'AGE\n\n28y 279d',, 'BATTING STYLE\n\nRight hand Bat', 'BATTING STYLE\n\nRight hand Bat',Right hand Bat,Right arm Fast medium ,Bowler
Royal Challengers Bengaluru,Rasikh Salam,, 'PLAYING ROLE\n\nniler'],,,, 'BATTING STYLE\n\nRight hand Bat', 'BATTING STYLE\n\nRight hand Bat', 'BOWLING STYLE\n\nRight arm Medium',,Right hand Bat,Right arm Medium,Bowler
Royal Challengers Bengaluru,Suyash Sharma,, 'PLAYING ROLE\n\nniler'],,,, 'BATTING STYLE\n\nRight hand Bat', 'BATTING STYLE\n\nRight hand Bat', 'BOWLING STYLE\n\nLegbreak Googly',,Right hand Bat,Legbreak Googly,Bowler
Royal Challengers Bengaluru,Swapnil Singh,, 'BATTING STYLE\n\nRight hand Bat', 'BATTING STYLE\n\nRight hand Bat', 'BOWLING STYLE\n\nSlow Left arm Orthodox',, Uttar Pradesh',, 'AGE\n\n34y 167d',,Right hand Bat,Slow Left arm Orthodox,Bowler
Royal Challengers Bengaluru,Nuwan Thushara,, 'nilING STYLE\n\nRight arm Medium fast',, 'PLAYING ROLE\n\nBowler',, 'AGE\n\n30y 336d',, 'BATTING STYLE\n\nRight hand Bat', 'BATTING STYLE\n\nRight hand Bat',Right hand Bat,Right arm Medium fast ,Bowler
Royal Challengers Bengaluru,Yash Dayal,, 'BATTING STYLE\n\nRight hand Bat', 'BATTING STYLE\n\nRight hand Bat', 'BOWLING STYLE\n\nLeft arm Medium fast',, Uttar Pradesh',, 'AGE\n\n27y 207d',,Right hand Bat,Left arm Medium fast,Bowler
Royal Challengers Bengaluru,Lungi Ngidi,, 'BATTING STYLE\n\nRight hand Bat', 'BATTING STYLE\n\nRight hand Bat', 'BOWLING STYLE\n\nRight arm Fast medium',, Natal',, 'AGE\n\n29y 101d',,Right hand Bat,Right arm Fast medium,Bowler
Sunrisers Hyderabad,Travis Head,,Left hand Bat,Left hand Bat, 'BOWLING STYLE\n\nRight arm Offbreak',, South Australia',, 'AGE\n\n31y 193d',,Left hand Bat,Right arm Offbreak,Top order Batter
Sunrisers Hyderabad,Ishan Kishan,,Left hand Bat,Left hand Bat, 'BOWLING STYLE\n\nRight arm Offbreak,, Bihar',, 'AGE\n\n26y 357d',,Left hand Bat,Right arm Offbreak,Wicketkeeper Batter
Sunrisers Hyderabad,Heinrich Klaasen,, 'BATTING STYLE\n\nRight hand Bat', 'BATTING STYLE\n\nRight hand Bat', 'BOWLING STYLE\n\nRight arm Offbreak',, Transvaal',, 'AGE\n\n33y 345d',,Right hand Bat,Right arm Offbreak,Wicketkeeper Batter
Sunrisers Hyderabad,Sachin Baby,,Left hand Bat,Left hand Bat, 'BOWLING STYLE\n\nRight arm Offbreak',, Kerala',, 'AGE\n\n36y 204d',,Left hand Bat,Right arm Offbreak,Batter
Sunrisers Hyderabad,Aniket Verma,, 'nilING STYLE\n\nRight arm Medium fast',, 'PLAYING ROLE\n\nBatter'],, 'AGE\n\n23y 155d',, 'BATTING STYLE\n\nRight hand Bat', 'BATTING STYLE\n\nRight hand Bat',Right hand Bat,Right arm Medium fast,Batter
Sunrisers Hyderabad,Ravichandran Smaran,, 'PLAYING ROLE\n\nBatter'],,,,Left hand Bat,Left hand Bat, 'BOWLING STYLE\n\nRight arm Offbreak',,Left hand Bat,Right arm Offbreak,Batter
Sunrisers Hyderabad,Abhishek Sharma,,Left hand Bat,Left hand Bat, 'BOWLING STYLE\n\nSlow Left arm Orthodox',, Punjab',, 'AGE\n\n24y 309d',,Left hand Bat,Slow Left arm Orthodox,Batting Allrounder
Sunrisers Hyderabad,Harsh Dubey,,Left hand Bat,Left hand Bat, 'BOWLING STYLE\n\nSlow Left arm Orthodox',, Maharashtra',, 'AGE\n\n22y 352d',,Left hand Bat,Slow Left arm Orthodox,Bowling Allrounder
Sunrisers Hyderabad,Abhinav Manohar,, 'BATTING STYLE\n\nRight hand Bat', 'BATTING STYLE\n\nRight hand Bat', 'BOWLING STYLE\n\nLegbreak Googly',, Karnataka',, 'AGE\n\n30y 297d',,Right hand Bat,Legbreak Googly,Batting Allrounder
Sunrisers Hyderabad,Kamindu Mendis,, 'nilING STYLE\n\nRight arm Offbreak,, Slow Left arm Orthodox',, 'AGE\n\n26y 283d',,Left hand Bat,Left hand Bat,Left hand Bat,Right arm Offbreak,Allrounder
Sunrisers Hyderabad,Nitish Kumar Reddy,, 'BATTING STYLE\n\nRight hand Bat', 'BATTING STYLE\n\nRight hand Bat', 'BOWLING STYLE\n\nRight arm Medium fast',, Andhra Pradesh',, 'AGE\n\n22y 45d',,Right hand Bat,Right arm Medium fast,Batting Allrounder
Sunrisers Hyderabad,Atharva Taide,, 'nilING STYLE\n\nSlow Left arm Orthodox',, 'PLAYING ROLE\n\nBatting Allrounder'],, 'AGE\n\n25y 75d',,Left hand Bat,Left hand Bat,Left hand Bat,Slow Left arm Orthodox,Batting Allrounder
Sunrisers Hyderabad,Brydon Carse,, 'BATTING STYLE\n\nRight hand Bat', 'BATTING STYLE\n\nRight hand Bat', 'BOWLING STYLE\n\nRight arm Fast',, South Africa',, 'AGE\n\n29y 344d',,Right hand Bat,Right arm Fast,Bowling Allrounder
Sunrisers Hyderabad,Wiaan Mulder,, 'BATTING STYLE\n\nRight hand Bat', 'BATTING STYLE\n\nRight hand Bat', 'BOWLING STYLE\n\nRight arm Medium',, 'AGE\n\n27y 141d',, 'NICKNAMES\n\nWiaan',,Right hand Bat,Right arm Medium,Allrounder
Sunrisers Hyderabad,Pat Cummins,, 'NICKNAMES\n\nCummo',, 'BATTING STYLE\n\nRight hand Bat', 'BATTING STYLE\n\nRight hand Bat', Sydney',, 'AGE\n\n32y 63d',,Right hand Bat,Right arm Fast ,Bowler
Sunrisers Hyderabad,Rahul Chahar,, 'BATTING STYLE\n\nRight hand Bat', 'BATTING STYLE\n\nRight hand Bat', 'BOWLING STYLE\n\nLegbreak Googly',, Rajasthan',, 'AGE\n\n25y 340d',,Right hand Bat,Legbreak Googly,Bowler
Sunrisers Hyderabad,Eshan Malinga,, 'nilING STYLE\n\nRight arm Fast medium',, 'PLAYING ROLE\n\nBowler',, 'AGE\n\n24y 156d',,Left hand Bat,Left hand Bat,Left hand Bat,Right arm Fast medium ,Bowler
Sunrisers Hyderabad,Mohammed Shami,, 'BATTING STYLE\n\nRight hand Bat', 'BATTING STYLE\n\nRight hand Bat', 'BOWLING STYLE\n\nRight arm Fast',, Uttar Pradesh',, 'AGE\n\n34y 310d',,Right hand Bat,Right arm Fast,Bowler
Sunrisers Hyderabad,Harshal Patel,, 'BATTING STYLE\n\nRight hand Bat', 'BATTING STYLE\n\nRight hand Bat', 'BOWLING STYLE\n\nRight arm Medium',, Gujarat',, 'AGE\n\n34y 229d',,Right hand Bat,Right arm Medium,Bowler
Sunrisers Hyderabad,Simarjeet Singh,, 'nilING STYLE\n\nRight arm Medium fast',, 'PLAYING ROLE\n\nBowler'],, 'AGE\n\n27y 174d',, 'BATTING STYLE\n\nRight hand Bat', 'BATTING STYLE\n\nRight hand Bat',Right hand Bat,Right arm Medium fast ,Bowler
Sunrisers Hyderabad,Jaydev Unadkat,, 'nilING STYLE\n\nLeft arm Medium',, 'PLAYING ROLE\n\nBowler'],, 'AGE\n\n33y 265d',, 'BATTING STYLE\n\nRight hand Bat', 'BATTING STYLE\n\nRight hand Bat',Right hand Bat,Left arm Medium ,Bowler
Sunrisers Hyderabad,Zeeshan Ansari,, 'BATTING STYLE\n\nRight hand Bat', 'BATTING STYLE\n\nRight hand Bat', 'BOWLING STYLE\n\nLegbreak Googly',, Uttar Pradesh',, 'AGE\n\n25y 206d',,Right hand Bat,Legbreak Googly,Bowler
Sunrisers Hyderabad,Adam Zampa,, 'BATTING STYLE\n\nRight hand Bat', 'BATTING STYLE\n\nRight hand Bat', 'BOWLING STYLE\n\nLegbreak Googly',, New South Wales',, 'AGE\n\n33y 101d',,Right hand Bat,Legbreak Googly,Bowler
,,,,,,,,,,,,,
