TEAM,NAME,image,,,,,,,,,BATTING STYLE,BOWLING STYLE,PLAYING ROLE
Gujarat Titans,M Shahrukh Khan,, 'BATTING STYLE\n\nRight hand Bat', 'BATTING STYLE\n\nRight hand Bat', 'BOWLING STYLE\n\nRight arm Offbreak',, Tamil Nadu',, 'AGE\n\n30y 42d',,Right hand Bat,Right arm Offbreak,Batter
Gujarat Titans,Jos Buttler,, 'BATTING STYLE\n\nRight hand Bat', 'BATTING STYLE\n\nRight hand Bat', 'FIELDING POSITION\n\nWicketkeeper',, Somerset',, 'AGE\n\n34y 303d',,Right hand Bat,not defined,Wicketkeeper Batter
Gujarat Titans,Rashid Khan,,1,, 'PLAYING ROLE\n\nBowling Allrounder',, 'AGE\n\n26y 291d',, 'BATTING STYLE\n\nRight hand Bat', 'BATTING STYLE\n\nRight hand Bat',Right hand Bat,Legbreak Googly owling Allrounder,Bowling Allrounder
Gujarat Titans,Karim Janat,,1,, 'PLAYING ROLE\n\nBowling Allrounder',, 'AGE\n\n26y 331d',, 'BATTING STYLE\n\nRight hand Bat', 'BATTING STYLE\n\nRight hand Bat',Right hand Bat,Right arm Medium owling Allrounder,Bowling Allrounder
Gujarat Titans,Mahipal Lomror,,Left hand Bat,Left hand Bat, 'BOWLING STYLE\n\nSlow Left arm Orthodox',, Rajasthan',, 'AGE\n\n25y 234d',,Left hand Bat,Slow Left arm Orthodox,Allrounder
Gujarat Titans,Dasun Shanaka,,1,, 'PLAYING ROLE\n\nAllrounder',, 'AGE\n\n33y 302d',, 'BATTING STYLE\n\nRight hand Bat', 'BATTING STYLE\n\nRight hand Bat',Right hand Bat,Right arm Medium,Allrounder
Gujarat Titans,Nishant Sindhu,,Left hand Bat,Left hand Bat, 'BOWLING STYLE\n\nSlow Left arm Orthodox',, Haryana',, 'AGE\n\n21y 90d',,Left hand Bat,Slow Left arm Orthodox,Allrounder
Gujarat Titans,Manav Suthar,,Left hand Bat,Left hand Bat, 'BOWLING STYLE\n\nSlow Left arm Orthodox',, Rajasthan',, 'AGE\n\n22y 339d',,Left hand Bat,Slow Left arm Orthodox,Bowling Allrounder
Gujarat Titans,Rahul Tewatia,,Left hand Bat,Left hand Bat, 'BOWLING STYLE\n\nLegbreak',, Haryana',, 'AGE\n\n32y 49d',,Left hand Bat,Legbreak,Bowling Allrounder
Gujarat Titans,Washington Sundar,,Left hand Bat,Left hand Bat, 'BOWLING STYLE\n\nRight arm Offbreak',, Tamil Nadu',, 'AGE\n\n25y 276d',,Left hand Bat,Right arm Offbreak,Bowling Allrounder
Gujarat Titans,Glenn Phillips,,1,, 'BATTING STYLE\n\nRight hand Bat', 'BATTING STYLE\n\nRight hand Bat', Eastern Cape,, South Africa',,Right hand Bat,Right arm Offbreak,Allrounder
Gujarat Titans,Arshad Khan,,1,, 'PLAYING ROLE\n\nBowler'],, 'AGE\n\n27y 200d',,Left hand Bat,Left hand Bat,Left hand Bat,Left arm Fast medium ,Bowler
Gujarat Titans,Gerald Coetzee,,1,, 'EDUCATION\n\nSaint Andrews School'],, 'BATTING STYLE\n\nRight hand Bat', 'BATTING STYLE\n\nRight hand Bat', 'BOWLING STYLE\n\nRight arm Fast',,Right hand Bat,Right arm Fast,Bowler
Gujarat Titans,Gurnoor Brar,,Left hand Bat,Left hand Bat, 'BOWLING STYLE\n\nRight arm Fast',, Punjab',, 'AGE\n\n25y 44d',,Left hand Bat,Right arm Fast,Bowler
Gujarat Titans,Kulwant Khejroliya,,Left hand Bat,Left hand Bat, 'BOWLING STYLE\n\nLeft arm Medium fast',, Rajasthan',, 'AGE\n\n33y 117d',,Left hand Bat,Left arm Medium fast,Bowler
Gujarat Titans,Mohammed Siraj,,1,, 'PLAYING ROLE\n\nBowler'],, 'AGE\n\n31y 117d',, 'BATTING STYLE\n\nRight hand Bat', 'BATTING STYLE\n\nRight hand Bat',Right hand Bat,Right arm Fast ,Bowler
Gujarat Titans,Prasidh Krishna,, 'BATTING STYLE\n\nRight hand Bat', 'BATTING STYLE\n\nRight hand Bat', 'BOWLING STYLE\n\nRight arm Fast medium',, Karnataka',, 'AGE\n\n29y 139d',,Right hand Bat,Right arm Fast medium,Bowler
Gujarat Titans,Kagiso Rabada,,1,, 'PLAYING ROLE\n\nBowler'],, 'AGE\n\n30y 44d',,Left hand Bat,Left hand Bat,Left hand Bat,Right arm Fast ,Bowler
Gujarat Titans,Sai Kishore,,Left hand Bat,Left hand Bat, 'BOWLING STYLE\n\nSlow Left arm Orthodox',, Tamil Nadu',, 'AGE\n\n28y 244d',,Left hand Bat,Slow Left arm Orthodox,Bowler
Gujarat Titans,Ishant Sharma,, 'nilING STYLE\n\nRight arm Fast medium',, 'PLAYING ROLE\n\nBowler'],, 'AGE\n\n36y 309d',, 'BATTING STYLE\n\nRight hand Bat', 'BATTING STYLE\n\nRight hand Bat',Right hand Bat,Right arm Fast medium ,Bowler
Gujarat Titans,Jayant Yadav,, 'BATTING STYLE\n\nRight hand Bat', 'BATTING STYLE\n\nRight hand Bat', 'BOWLING STYLE\n\nRight arm Offbreak',, 'AGE\n\n35y 167d',, 'ALSO KNOWN AS\n\nJayant Yadav',,Right hand Bat,Right arm Offbreak,Bowler
Kolkata Knight Riders,Ajinkya Rahane,, 'BATTING STYLE\n\nRight hand Bat', 'BATTING STYLE\n\nRight hand Bat', 'BOWLING STYLE\n\nRight arm Medium',, Maharashtra',, 'AGE\n\n37y 30d',,Right hand Bat,Right arm Medium,Top order Batter
Kolkata Knight Riders,Quinton de Kock,,Left hand Bat,Left hand Bat, 'FIELDING POSITION\n\nWicketkeeper',, Gauteng',, 'AGE\n\n32y 201d',,Left hand Bat,not defined,Wicketkeeper Batter
Kolkata Knight Riders,Manish Pandey,, 'BATTING STYLE\n\nRight hand Bat', 'BATTING STYLE\n\nRight hand Bat', 'BOWLING STYLE\n\nRight arm Medium',, Uttaranchal',, 'AGE\n\n35y 299d',,Right hand Bat,Right arm Medium,Top order Batter
Kolkata Knight Riders,Angkrish Raghuvanshi,, 'nilING STYLE\n\nSlow Left arm Orthodox',, 'PLAYING ROLE\n\nTop order Batter'],, 'AGE\n\n21y 31d',, 'BATTING STYLE\n\nRight hand Bat', 'BATTING STYLE\n\nRight hand Bat',Right hand Bat,Slow Left arm Orthodox,Top order Batter
